,title,rating,date_of_stay,review
1871,Great stay in great location,50,August 2017,Had a great time staying at the Marriott for five nights. The breakfast is amazing and the staff are very attentive. Had a lovely dinner and great service from Widi. Rooms are really clean and it's in a great location.
1872,Nice safe hotel with excellent food and close to all the seminyak action.,50,August 2017,"We stayed at this hotel for 8 nights, (from July 28 to August 5, 2017) to relax and celebrate our weeding anniversary.
The good: Hotel is very clean and every employee is friendly and willing to help.
The girls at reception did a fantastic job getting the right flowers and present for my wife.
The highlight of our stay was, without doubt, getting to meet Patrick David Ramon (hotel Chef), Patrick was always attentive to us, and he cooks the best ""Lamb Rack"" for us on our anniversary day.
The No so Bad: I am one of those person that likes to make my reviews honest, and hence, although I am a Marriott member I was disappointed to found out that on our anniversary night dinner, they can only offer me 3 type of red wine. We finish having white, as none of the red was my liking. This is not a big deal, but for a 5 star Marriott hotel, wine selection was very poor.
In Summary: This hotel is good value for the money (particularly if you get a ""Luxury Escape deal)"
1873,Awesome stay,40,July 2017,"Best breakfast in Bali
Kids club is fantastic. My 7 year old daughter raved about it and was so excited to go there each morning and I had to drag her away at the end of the day ..., happy kids , happy holidays.
Highly recommend"
1874,Noisy Resort,30,August 2017,"While the Courtyard (formerly part of the Marriott chain of hotels) ticks many of the boxes necessary for an idilic tropical getaway, it has some not so good flaws that detract from the whole experience. The resort is clean, well maintained, the staff are friendly and efficient, the buffet breakfast is outstanding, and despite the rooms being on the small side they are quite well appointed. On arrival we were allocated a room on the main street side of the complex, within minutes we were aware of the street noise (no double glazing in Bali), despite being on the third floor, we asked to relocate. The street noise includes taxis honking (all night) to procure a fare from the guests at the entrance of the resort. The noise continues within the resort, a variety of music is played over the speakers within the pool area, including rap, pop and techno. Now having been moved to a room on the inside of the resort complex we were now subjected to music for the day, even while inside our room. It was very difficult to be away from noise and people. The pool area, mostly in shade due to the design of the building (somewhat like a block of flats), is too small for the number of rooms (guests) in the complex. The same can be said for the breakfast area/restaurant, as it was manic with people and kids, and the in-house spa, as it couldn't accommodated me with an appointment any time during our stay. The other thing that was quite annoying was that the bar fridges in the rooms were completely empty. Which meant there was no milk for the cup of tea you might make yourself in your own room. Bar fridges are usually about spontaneous convenience, particularly water while in Bali. Keep in mind when booking accommodation in Bali the street noise issue is not necessarily unique to this resort. In built up areas the traffic is getting worse, and some hotels on busy streets have bars and discos that play music long into the night. If you want a quiet, relaxing holiday choose accommodation that's more isolated, away from the main roads."
1875,Fourth perfect stay,50,August 2017,"Thank you again to Courtyard Marriot Seminyak for another wonderful stay. We could not fault our experience and we find it hard to go past this hotel for security, value and consistent excellence. From the moment you arrive you are greeted by such great staff such as Hardi on Reception who recognised me and greeted me with a warm hug. We utilised the fun daily water aerobics with Rayan leading us through our moves. A lot of laughs and a great way to work off the awesome breakfast buffet!!! The staff and management (John, Anton, Ramu) are definitely what sets this hotel apart from the rest. All the staff are happy to be there and take care of your every need.
Zanti Spa is well worth a visit and has been much improved by the sound proofing since my last visit. It was great to see that guest comments in regards to that one issue had been promptly rectified.
Looking forward to seeing you all soon for another relaxing break. 😀"
1876,Affordable luxury at a great location,50,July 2017,"Fantastic breakfast buffet, beautiful grounds and awesome pools. Great location in Seminyak to shop around and dine. Affordable but lush Resort. We have been to Courtyard Nusa Dua as well but this one probably is better for going around."
1877,saved the best till last,50,August 2017,"After a little trouble of a missed booking, and having to change rooms the next day the rest of the stay was great. After returning to the front desk and trying to find out our new room several time, and them keep saying it should be ready in a couple of hours, we demanded to see there manager. He arrived heard our story and had us in a poolside room in 15 minutes. The service in bars and restaurant great, all meals were good. Saturday night is The fish market in the main dinning room fantastic prawns, like mortan bay bugs, and lots of BBQ fish etc etc. This was free in our deal, Anna who we see around the pool every day help you out no end with information on where there were places to eat, things to see, and fixed booking for the restaurant and massages for you. There transport gave you a lift to the main eating street, but there was plenty of restaurants in the street the the Courtyard Mrriott was in. All over we would return it was great."
1878,Best food in town,50,August 2017,"After 3 weeks of lovely -and sometimes a little less lovely- is was so nice to eat at this beautiful hotel in Seminyak. I can recommend the spaghetti Bolognese, the Bloody Mary Burger and the Steak sandwich. All dishes are outstanding. Our very polite waiter Widi made our stay extra pleasant. We most definately will be back here in the future."
1879,"Could have been brilliant, but a couple of flaws",40,August 2017,"On the positive:
Generally an extremely well run, very clean and nicely set up hotel.
Lovely, lovely staff! Everyone was smiling and friendly.
Nice gym area.
The breakfast buffet was really good especially Nara at the egg station (excellent poached eggs) and loved the daily changing booth with special offerings. Plus the table clearing of used dishes was very efficient.
The all-day golf-cart buggy drop off into the heart of Seminyak is super!
We didn't try the food truck, but it was a nice innovation and well patronised by others during happy hour particularly.

On the negative:
The hot water in the rooms was luke-warm to cool in the afternoons and evenings, really not good enough at a resort like this.
Having booked their top-priced pool access room, and having stayed here before, I emailed the hotel well in advance and requested a room in a particular location. So, I was pretty unhappy about being placed in a room opening onto the very shallow end of the pool. Pretty obviously, this is where all the families with babies and little children settle themselves for the day, with the accompanying noise and disruption. As we were a mature couple it was just inappropriate to place us there, plus I can't understand why they ignored my request.
As always, it amazes me that a Balinese luxury hotel prices its spa treatments so high when there is so much competition nearby! I would happily have gone for a more luxurious spa experience within the hotel if the price was a bit better. Swiss Marriot should recognise that its hotels in Bali can't follow the same pricing as hotels in different locations.
We ate at the restaurant in the evening once - it was okay, but not brilliant and all the dishes were barely warm, not hot. It all tasted a bit tired, and the lighting at outside table was far too dim.
I feel the restaurant and bar should also provide mosquito repellant in the evening given the health risks posed by mosquitoes in Bali."
1880,Loved everything about the hotel,50,August 2017,"They have everything you would want in a hotel. Absolutely loved the place - right when you enter the hotel the staff ensures they make your stay as comfortable as possible.
Greeted with a welcome drink, we headed straight out for a visit around the city. They picked up that it is my wife's birthday from the passport we gave during check-in. On coming back, they had upgraded me to a suite (because I am a Marriott Gold member and I checked in the morning whether an upgrade is possible).
The biggest surprise was the lovely gesture by the staff - a note for my wife, with a cake and some dessert. She was so happy with the surprise. That actually made our first day so lovely and yes her day special.

Being close to a lot of lovely places and ensuring that the hotel is a safe place to stay - this hotel is a must visit. The rooms are modern with all the facilities. The ever smiling staff and the great breakfast spread in the morning. I am definitely staying here again for my next visit as well.

One thing to remember though - Uber usually does not ply around seminyak but it is fine if you get your uber inside the hotel and if a driver accepts your ride, ask him to come inside rather than taking it from outside the hotel. The local taxi union can be a little messy affair at times."
1881,"An outstanding, quality hotel in a great location",50,June 2017,"I stayed for a week in June 2017 and I can only say how wonderful the hotel and staff where. It starts with the location, which is smack, bang in the middle of everything and walking distance to the beach. It continues with superbly trained staff and excellent food from the amazing breakfast buffet, through to happy hour at the pool side bar. I was upgraded to a pool view suite which just added to experience. The hotel gym was small, but very clean and functional. As a member of Marriott Rewards, the General Manager, John Woolley hosted an enjoyable welcome function and allowed me to meet the thank the amazing staff trained by John and his management team. A great value hotel, with friendly and efficient staff, in the perfect location. Well done."
1882,Great again,50,August 2017,"This is a fabulous hotel. This is my fourth visit since it opened in 2014. I love staying here because of the great room amazing pool and excellent staff. All,of the staff at the Seminyak Kitchen at breakfast always remember me and my name. Indah and Ayu make me feel special when I arrive every morning for a coffee before a walk along the beach. This afternoon I am sitting at the Pool Bar having a late lunch and its the same here. Chinta is looking after me so well, engaging in conversation, advising on drinks and food - exceptional service Chinta. I really appreciate it."
1883,"Nice property,very nice people",40,August 2017,"We had a group stay prior to a Balinese wedding.
The property is well located with hotel buggy services to the beach and eat street-- very handy.
Nice and affordable restaurant with a very good breakfast
Rooms are well maintained and the whole property seems in as new condition."
1884,Amazing service,50,August 2017,"In brief, service beyond my expectations was the experience I recently received. I needed to find top quality cracks for an event and I had no idea where to start.........
Fortunately for me I asked the manger ""Grant"" to point me in the right direction which he did so kindly . Not only did he recommend 3 stores he also arranged the hotel driver to drive me around to purchase the crackers. Marriott Courtyard congratulation a credit to the management team.....I will be back, fantastic breakfast by the way."
1885,Great hotel,50,August 2017,Loved staying in this hotel great location if u want a place far a little bit from the fuzz I stayed in pool view room it was so nice friendly staff amazing breakfast buffet and room service and a nice cool gym
1886,Surfing great waves warm.,50,August 2017,"Great nice relaxing. Staff very great funny. Best ever. Very cold beer. Wish is a winner,very friendly and beautiful especially Chinta.ayu,Alit.rudi.very helpfull. Overall very good. Security is very good. Got a fate Labrador out front who sniffs nothing. Other than that everyday walk through buzzer.

No fridge only problem."
1887,"Good location, good food, amazing staff",50,July 2017,"We stayed six days at Courtyard Bali Seminyak and it was just great! Rooms are very well equiped and clean. We tried the breakfast and the Meat shop restaurant and we were impressed by the choice and que quality of the food.

The swimming pool looked nice (however we did not try it) and the hotel has a private space close to the sea that guests could use for free. By scooter it took us 5 minutes to go there, and I guess 10-15 minutes by walk.

The staff were very helpful for booking nice excursions. They even managed to find us a great photograph for the next day. Also, back home we noticed that the DVD with the diving pictures did not work, and they helped us contacting the diving company to get the pictures.

We were only a bit disappointed with the SPA. We tried to book 2-3 times for the same day and each time they were already fully booked... As we don't like to plan in advance when we are on holidays, we decided to go to the SPA BALI (5 minutes walk from the hotel) and it was nice. Probably not as nice as the hotel SPA, but 2 times cheaper.

We warmly recommend Courtyard Bali Seminyak to anyone and the next time we visit Bali, we will most probably stay there as well."
1888,Great service but full of Bogan's,30,August 2017,Courtyard is a good hotel close to everything the staff are fantastic. The facilities are a 4 out of 5 compared to other places in Bali. There were a lot of Bogan's (Australian slang for Hick) getting pissed by the pool to the point of almost drowning everyday. Is also a bit of a children's resort so not good if your looking for any sort of relaxation. All in all a 3 out of 5
1889,"A secure, fun and friendly hotel for the whole family",50,July 2017,"We just returned from a fantastic family holiday at Courtyard Marriott Seminyak. All of the staff were amazing but I have to call out Nisa and Santi in the Kids Club. They made our stay so easy when they looked after our son. He loved going to play in the ball pit or on the games consoles. The variety of pool depths was very helpful too as he's not a confident swimmer. Breakfast was sensational, great tasting, plentiful, food and juice to suit all needs and very attentive staff. The pool bar was fantastic, the food truck was great, Seminyak Meat Shop had amazing meals and happy hour was worthwhile. We had room service a few times after long days out and each time it arrived quickly and tasted great. If you ever have the opportunity to stay, I highly recommend that you do."
1890,Best experience!,50,July 2017,"We stayed five days at courtyard, we enjoyed our stay.
Hotel staff is amazing, everyone is smiling and welcome you each time they see you.
Rooms are clean, the maintenance is great.
One of the best restaurants in seminyak is at this hotel
Everyday there is something special happening by the pool (special dinner, games...)
I recomend this hotel!"
1891,Ideally located very good hotel,40,July 2017,"We stayed there for 4 nights along with another couple friend. Although our check Inn experience was not very good as they almost 2 hrs to give us 2 rooms on the same floor close to one another, but apart from that our experience was just great. The Breakfast was one of the best we have experienced which is actually Marriott's specialty. The staff was extra courteous right from the security staff to the restaurant and reception and concierge, travel desk etc. The pool was huge and great. The best thing is the location. Beach is 5 min walk and nearby you can find good eating and drinking joints and lots of spas."
1892,"Simply perfect, no other words to describe it",50,July 2017,"Amazing location, superb room, impeccable service, fantastic breakfast and food.

We got the pool access suite, room size is big enough, the pool access is really handy from the room. But aside from all the adjectives above; this is a really lively hotel and the streets and area around are also the same. There's a great feeling of fun filling the atmosphere. It's not a very large hotel but just about perfect. Getting to the beach is like a 2 min ride on their golf buggy.

Oh and the service is simply superb; not over the top where it starts feeling fake and annoying but just extremely friendly.

If I ever go back to Seminyak I won't stay anywhere else but here."
1893,Friendly staff & Good breakfast Buffet,40,June 2017,"Friendly staff, good location, great breakfast buffet. Spa is always fully booked, so it is better to book prior to your arrival. There are a few nice spa shops nearby if you don't mind having one outside of the hotel."
1894,A beautiful hotel in a fantastic location,50,July 2017,"We checked in around 10pm and were warmly greeted with a cool towel and a yummy drink. Our room was lovely and cool with a nice bathroom (really want one of the big showers at home). Most rooms seem to overlook the gorgeous courtyard pool area which gave us a tropical feel.

The breakfast buffet was amazing with western and Indonesian options, the coffee was great, and the staff were so helpful and accommodating of my dietary needs.

I really liked the security aspect of this hotel, for my first overseas trip it made me feel really safe and secure. Others appear to have found this annoying but the process of going through the scanners took only minutes and the security team were always friendly.

The proximity to shopping and great restaurants was wonderful. So easy to pop out and get anything you need or want.

They run a shuttle to their private beach and though we didn't use the shuttle, it was nice having a spot on the beach we could use at any time, having cold water and icy sweet treats was a nice touch.

Overall we enjoyed our stay here very much and would stay again. Thank you!"
1895,Long overdue Holiday,40,July 2017,"What a fantastic Hotel. Great central location in the heart of vibrant Seminyak., facilities are clean and very well presented. The service is exceptional from start to finish of each day. The Breakfast is one of the best Bali cam offer. The rooms are large and clean. We would recommend this hotel to all our friends. Rob."
1896,Exceptional Service and Strategic Location,50,July 2017,"The moment I stepped down from the car, I was greeted and offered assistance by Alfi. I was staying for 2 nights here and thank you for the upgraded room to the pool view. Hotel location is very strategic in Seminyak area where restaurants are nearby and walking distance. I also would like to thank Fransiska and Laura at Reception for their assistance during my stay. Haven't get a chance to try the restaurant. However, I did try their Watermelon with Feta Cheese in pool bar and it was simple yet tasty. Again, the people are one of the reason that guest will feel special. Definitely will be back staying here for future visit. Thank you for all the people mentioned. Keep up the good work"
1897,Amazing 8 night stay,50,July 2017,"We had never been to Bali before or stayed at one of the Marriott hotels but loved both so much, we are going to book another trip next year.

The service was impeccable and the staff were always helpful and friendly. Our Deluxe Pool View Room was spacious, clean and had a great view of the resort.

We loved the location of the hotel; tucked away at the end of a quiet street but only minutes away from the beach and Eat Street.

Really couldn't fault this resort and would highly recommend."
1898,"Marriott at its best - Highly recommended! ""Bali""",50,July 2017,"The only reason I can think of why one should NOT stay at this property would be that it would tempt you to stay in the hotel as opposed to exploring Bali. Seriously it is the first hotel I think that looks better than the pictures.

We were warmly greeted by Marriott associates and recognized for our loyalty to the brand. Being a Platinum elite Comes with set of benefits and I find recognition to be one of the best benefit. We were attended by Mr. ketut Ramu the Front office manager who knew we had travelled with a 4 year old and need to be escorted to our room promptly. We were very fortunate that we were upgraded to a suite for our 9 days stay. We were escorted to our room and were impressed to see the room and compliments including some drinks and a cheese platter.

Hotel has a beautiful pool and poolside bar that caters to the hotel crowd (the chairs were full). The garden area with beanbags just changes the whole look of the lobby and brings out the best of the guests. I would hope that the staff at the pool side are a little more attentive and take a few rounds even without been called. No points taken from you on this one since I know it was a really busy period.

There is a popcorn and candy floss section in the lobby which is offered on a complimentary basis to kids and adults too. What a brilliant idea I must say. My 4 year old was hooked onto the popcorns while I got a candy floss under her name ;)

Kids room - 2 hours complimentary baby sitting Amazing. All the ladies were simply amazing and took care of our daughter with so much love and care. I only feel the kids room should be kept open to kids beyond 2 hrs if accompanied by an adult who can watch them. There might be some logic behind why you don't do it and I would like to hear from you.
Laundry services - excellent
Room Service - excellent
Housekeeping - excellent
Seminyak Kitchen - good ( we had two very unfortunate incidents where in we found hair in our dish and once with a fish smelling glass of water) I would let it pass but being Marriott one cannot afford these issues to reoccur.
Having said that the staff does work very very hard to attend to everyone during breakfast which is the peak period for them. I have even seen the front office manager, guest relations manager, duty Manager and even the General Manager John clearing tables with a Smile. That's definitely the Marriott way. The breakfast spread is huge and we thoroughly enjoyed every day we had breakfast.

Bell desk Good job
Spa - Excellent 5 star service and technique. Pls do experience it at least once.

Star Players
Pricillia (for taking care of us and specially our daughter when she wasn't feeling too well)
Ulis (for being persistent in getting my pizza, it was a task :) )
Parmi (for going out of your way to get my sport shoes cleaned and dried - I know this sounds weird and I know not many would have found a solution)
Mega (for standing out from the crowd and showing that you are super woman at F&B
Ari (for running around to get the small requests done)
Popcorn Lady as my daughter lovingly called her - Ms. Lili (we truly appreciate the sincerity and hard work you put in keeping everyone at the lobby happy)
Executive Chef ( my apologies for not getting your name) thank you for being considerate towards my wife's vegetarian requirement.
Also special thanks to the guest relations and duty Manager.

If we come back to Bali we will definitely stay with you guys. All your activities and services are truly 5 Star. Keep it up guys.

Thank you for connecting the dots to make our stay such a beautiful one. I personally know how difficult it is to create so many positive memories and you guys did an excellent job.

Dear John,

I would request you to personally congratulate the star players as this would go a long way for them as you might concur. Thank you for inviting us to the cocktail party and speaking to us. I am sure the team does so well because of your able leadership.

Regards
Prathamesh Kamath"
1899,"Nice service, good location",40,July 2017,"Stayed here for 4 nights in late July. The first room we checked into was facing the main road and was very noisy even at night. We asked to be moved to a more quiet room and it was arranged for us promptly and efficiently.

The rooms are nice, the staff are great and the buffet breakfast is huge.

The guests can get rowdy sometimes in and around the pool, so if you want to relax and chill by the pool, I would look for another hotel.

Due to the layout, even the banging of a door can echo, so not a real quiet hotel.

If you are a sound sleeper, and don't mind a rowdy group, then it is OK."
1900,Always 5 star service with plenty of smiles,50,July 2017,"We always stay here when coming to bali very frequently . No issues , nice and central to all the actual if needed and beach access very near . Staff and food is outstanding and good value for money especially the VW truck food which is cool and junky . Great for families and always a pleasure to stay and sad to leave .
Thanks"
1901,Class and comfort,50,July 2017,"We were impressed with the service of staff going above and beyond and catering to the needs of the individual. The atmosphere was welcoming, attentive and high quality. All staff were respectful, friendly and accomodating. Would definitely recommend for families, couples or singles. The resort made our first experience of Bali a memorable one and we would defiantly like to return."
1902,Excellent! Highly recommended!,50,July 2017,"Close to beach and shops. Rooms were modern, GREAT water pressure, clean, very friendly service, great for kids, breakfast buffet was the best! Kids club was entertaining, had soft shell tacos from taco truck everyday - yummy! Security was tight so always felt safe and secure. Only small gripe would have been pool temp....slightly chilly in July, but probably prefect for warmer months, although kids didn't seem to mind! Got a great deal with Luxury escapes, will definitely return!"
1903,Super!,50,July 2017,"We stayed for 10 days. Hotel is very good, beautiful room, with everything you need but what makes the difference with other hotels is the service! All staff are so helpfull, kind,... They will ask you constantly if they can do something for you with a smile on the face!
Food is very good,...Also the wellness in the hotel is super! Can't say anything negative about it!
We are already almost 2 weeks home and still have contact with several people who are working there, they are friends! We will come back to Courtyard!"
1904,Excellent hotel.. Loved our time here!,50,July 2017,"We stayed for 7 nights in the Courtyard by Marriott and absolutely loved it. The staff are extremely helpful and friendly from the moment you enter the hotel. The rooms are very clean, spacious and comfortable.
The breakfast buffet is full of variety, they have everything from pancakes to bacon to noodles and prawn crackers!!!

The hotel also provides a free shutlle to seminyak square until 8pm and to seminyak beach. The hotel has a private area on the beach which the shuttle will bring you to. This area is free and offers free wi-fi, water and towels. The only thing Id say about this is you need to get down early enough to get a bed.

I would definitely stay here again when I return to seminyak."
1905,Best hotel experience! Total package!,50,July 2017,"My friend and I stayed at this resort for just over a week. We were greeted with warm smiles and received impeccable service throughout our stay. The rooms are well kept and comfortable. Every staff member we met was friendly and asked if we needed anything. One employee even said ""we want this to be your second home""- and honestly it felt like that. The breakfast buffet was out of this world with a huge selection of both Asian and western options. The pool menu always hit the spot and dinner was also delicious. There are three pools, one that seems more for fun with a pool bar and music, another that is longer for swimming and a smaller one at the back that seems appropriate for kids. Great setup! There was also a beautiful spa( great packages!) and 24 hr gym. My friend and I loved the resort so much we often stayed in rather than walk around Semiyak. However, when we did, we noticed how close it was to shops and Eat Street, which is full of wonderful dinning choices. The resort offers buggee( golf cart like car) services to Eat Street. The resort also has a private area on Semiyak beach. While there we were given free water bottles and mango icees! As someone who enjoys traveling, this was the best hotel experience I've ever had. I highly recommend to singles, couples and families. You will not be disappointed!"
1906,Great Service despite hectic crowd,40,July 2017,Grant and Anna handle the throngs of crowds during brekky like true professionals that they are. Brilliantly managed and yet friendly and classy to people of all ages and nationalities. Well done guys. Always a joy to be back at this hotel again!
1907,Wonderful experience,50,July 2017,"6 of us stayed 10 nights at the courtyard by Marriott in Seminyak for a family holiday.
We normally rent a pool villa but thought we would try something different. We got 3 x scooters for transport and found easy access to hotel and parking. The staff go above and beyond with exception service. We could not fault one thing regarding the staff.
We travelled in July which is peak season and although the hotel was busy there was plenty of day beds by the pool and always seating available for breakfast. The pool was slightly cool as it doesn't get afternoon sun but once you get in and have a swim it doesn't take long to get used to. I'd suggest to go to breakfast earlier around 8am rather than later as it does get really busy around the buffet. My dad found the tea was not really hot enough but that may be a safety restriction regarding the water temperature? I had coffee and found it a good temperature. The location is perfect 5 mins from the beach and close to restaurants and market shopping. I'd highly recommend this hotel to families and friends."
1908,Outstanding service and excellent location,50,July 2017,"From the moment we stepped into the hotel we could not fault the service given by the staff. You are made to feel like family here!
Breakfast offers a wide variety of well prepared and delicious options. The hospitality staff are so attentive to our every need.
Highly suggest a massage in house.
Special mention must be made of Auli, Adi, I Made, John and Gita for all their care."
1909,Luxury escape package,40,July 2017,"We are into our 5the day at the hotel. It's located in a good part of Seminyak, with a few good shops and Mozzarella Restaurant on the same street, (opposite The Breezes Hotel).
It's a 5-10 minute walk to the beach or you can take the golf buggy if available. A hotel courtesy transport. It's only a 5 minute taxi ride to Eat Street, which cost between $3-$5 or again if available , you can take the golf buggy.
The room is cleaned daily to a high level. We have a room on the 6th floor facing the reception and pool. It's a quieter part of the hotel, but quite a walk in and out. The room is not huge but well maintained and has everything you need. The balcony is quite small though.
The breakfast is fantastic with a huge selection. There should be something for everyone. The pool bar is nice and offers a good choice.
Our package included massages (which were wonderful. We had a 1 hour couples massage). The spa is really nice. Also included is a daily cocktail each, daily tacos (really light and tasty), breakfasts and a dinner each.
The pool lounges are always quite busy, especially one side of the pool, which catches the sun. There are signs on the tables saying that they will move your belongings if you leave them unattended for more than 30 minutes, which should stop people from putting a towel down early and not coming back for hours. Unfortunately this does not happen. We have tried a couple of times to get a Lounge in the sun, (successfully sometimes), and found the lounge next to us unused for 1-2 hours, but someone had put towels and books down. It would help other guest if this was monitored more or larger signs erected. If your plan is to use the pool and you can't there are no other options in the hotel. This would be our only complaint with the hotel.
All in all a good choice of hotel."
1910,Best Marriott Around,50,July 2017,"We're checking out today after 4 nights and we don't want to leave!

#1 - the breakfast spread is exceptional. Everything from bacon and eggs, to bagels, curries, a noodle bar, fresh fruit and the freshly squeezed juices that are not watered down. Basically any breakfast food you can imagine, and on top of that the food quality is excellent.

#2 - pool area is great and very well maintained and landscaped. I see staff collecting all the deck chair cushions in the evening, presumably for cleaning. Poolside service is excellent and there are staff ""call"" buttons at each deck chair along the pool.

#3 - there is a little private beach area with towel service and complimentary cold water. There is a hotel golf cart shuttle to and from the beach and also to other nearby areas around the hotel. The general beach and water is very clean well maintained - great for swimming.

#4 - the spa was also top notch. Relaxing atmosphere, highly professional, pre- and post-massage drinks, and an amazing Balinese massage!

#5 - the rooms are very modern with quality finishing and furniture. Standard Marriott branded beddings, universal power outlets, bath amenities, and a spacious balcony.

#6 - every single one of the staff here are brilliant. Front desk, concierge, guest relations, housekeeping, spa, dining - every single encounter with the staff was excellent. Friendly, polite, professional, highly attentive, and very warm and welcoming - always a smile on their faces.

#7 - security on the property is almost airport like. Entrance is barricaded and all Vehicles are checked from hood to trunk, bottom to top, then circled by a bomb sniffing dog. Anyone entering on foot passes through a metal detector and all bags x-ray screened. Safety first! Good job Marriott!

The staff also asked for feedback on a couple of occasions, but I'm not sure how much more they can improve - excellent rating overall."
1911,"Lovey staff, hotel, location superb",40,July 2017,"Hotel is very clean
Pool is lovely with bean bags in the pool water kinda cold but u get used to it once u get in
Kids club is great u get 2 free hours daily per child has ball pool, building block and Psp for older kids and tv with cartoons
Hotel location is great ! Shuttle to beach and 3 other spots
Staff are smiley and go out of their way to help u
Breakfast is good to meet all tastes with ice cream everyday which ofcoarse my kids loved!

I highly recommend the hotel !
Happy hour is good too !
Enjoy !
Lots to do in seminyak !"
1912,"Safe, clean but noisy",40,July 2017,"This is a great hotel for business and it has wonderful safety screenings and precautions.
It's very noisy around the pool area and over crowded. You struggle to get a poolside bed or chair. This hotel sells a lot of cheap Scoopon packages and you can clearly tell by the type of people around the pool, at the bar and their behaviour. It's not a resort, even though it's marketed as one. I can not relax at this place as the people are disruptive, drunk, noisy and rude. I've stayed 5 times for business and it's never changed. When I want to relax, I stay a little further down the road at the royal beach which I believe is much better for a relaxation resort style holiday that does not offer cheap packages so tend not to get your anti social drunks and bogans.
However, the courtyard Marriott definitely had the best buffet breakfast in Bali. It's great value for money and it's in the best location in Seminyak close to the beach, close to Kuta but in a quiet enough location where you are just outside the hustle and bustle."
1913,Nice hotel but watch the hotel credit deal rip off deal at check in !!!!!!,30,June 2017,"Our family (5 rooms - 12 people) from Perth stayed here for a 70th birthday in June 2017.

We arrived at check in @ 12:30am after a delayed flight and where exhausted. As part of the check in process the hotel offer you a pre-purchase non-refundable credit in advance discount. Basically buy some credit at 20% off and use at the hotel ... the more you buy the cheaper it gets.

Was told I had to make my mind up now (12:30am) and that the offer could be used during our stay. So I bought $300AU worth .... sounded good, I knew we would be having a few Bintangs at the bar, so why not.

Fast forward to check out and I discover that there are all of a sudden a number of exclusions to this deal ...... happy hour at the bar etc !!!!! Of course this was never mentioned at check in !

So at check out, not only did I have a big bar bill BUT I still had $300 in credit which I couldnt get back as a refund !

Had a big heated discussion with the staff and was eventually given the credit towards the bill. Just wish I had been told this when we checked in !

So BEWARE of this offer ,,, it aint as good as it seems and left a nasty taste after what was a good few days.

Also the airport transfer offered by the hotel was quoted at 600,000 ($60AU) one way. Much cheaper to get a private van which we paid 200,000."
1914,Great staff and good location.,50,July 2017,"It really makes a difference when the staff at a hotel are so happy and friendly. The rooms are well appointed and very well maintained, the areas devoted to kids are fantastic, this is a very kid friendly space. The creche alone makes this hotel worth the price for parents who want a little free time,
The location is great, lots of shopping very close by and with a bit of aggressive bargaining you might find a deal, though the supermarket across the road ended up having a better price for a bag than the street vendors, so beware, walk away if they won't budge and offer only 40% of the original offered price!
Beach area is great though very small so get in early, and the buggy is very handy so take advantage. The Taco bus is super cool, simple but good food, and the bar is very cool though like all hotel bars the ""real"" cocktails will cost.
The real standout for me though was how the staff treated the kids, which was like Prince and Princesses, they really loved that so hats off to staff like Sutiarja and Andre (though too many others to mention)!"
1915,Amazing location & wonderful staff,50,July 2017,We stayed in this hotel for 2 days and it was absolutely blissful. The swimming pool was the highlight of the hotel. There is a bar inside the pool and good music keeps playing in the entire pool area. The beach is walking distance (300 mtrs) from the hotel. Very friendly staff and decent rooms. The street on which the hotel is located has amazing cafes and pubs. The very famous legian street is 3 kms away.
1916,Feedback on staff member,50,July 2017,"Dede is absolutely amazing. He has made our stay here exceptional. He works in the bar area and always goes out of his way to make sure that you're okay. We've met many staff here who are all lovely, but Dede goes that extra mile. We can't praise and thank him enough."
1917,Courtyard Bali Seminyak - Exceptional,40,July 2017,"I get to Bali every year. Usually I'm a little more organised with flights and accommodation at a Villa, always in Seminyak.

This year a mate and I booked five weeks out on Expedia. $2000 for the both of us, flights and accomodation, a four night stay.

From the options given we chose Courtyard Bali Seminyak purely on the positivity on TripAdvisor.

We were not disappointed.

A Delux Room Pool View, large and spacious. Well kept, not 'tired', exceptionally comfortable bed, large bathroom, stylish. It was lovely to sit on the balcony and listen to the water, overlooking the pool.

The pool. So large and blue with many lounges around the perimeter. Beautiful to swim in. Great service with a Bintang or cocktail never far away. Hours spent relaxing an reading.

We had breakfast daily included and it was without fault. The service and food outstanding . It was also changed up a little every day. Something different to explore if you wanted to venture away from the standard egg station, juice bar, fresh bagels! We looked forward to waking up and breakfast.

You can always tell how good a hotel is by how happy the staff are. Beautiful Balinese smiles everywhere, and what we found most touching was how much they adored children, especially babies. Staff thrilled to nurse a child while a mother and father got organised.

The location - fantastic. Close to the beach, great food and the gay bars. (LBGTI most welcome and adding to a great mix of guests).

Well done Courtyard Bali Seminyak. Nailing it. A great place to stay in Bali, and great value."
